trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
139,False,"{'a': 0.5, 'e': 0.7219999999999998}",20,0,-56.09060593631611,"{0: 16, 1: 1, 2: 1, 3: 1, 4: 1}",0
140,False,"{'a': 0.5, 'e': 0.7199999999999998}",25,0,-32.4510493175578,"{0: 18, 1: 3, 2: 4, 3: 0, 4: 0}",0
141,False,"{'a': 0.5, 'e': 0.7179999999999997}",25,0,-147.15974847915393,"{0: 15, 1: 1, 2: 6, 3: 1, 4: 2}",0
142,False,"{'a': 0.5, 'e': 0.7159999999999997}",25,0,-83.70721920373921,"{0: 17, 1: 3, 2: 3, 3: 1, 4: 1}",0
143,False,"{'a': 0.5, 'e': 0.7139999999999997}",20,0,-100.46526194747587,"{0: 10, 1: 1, 2: 7, 3: 2, 4: 0}",0
144,False,"{'a': 0.5, 'e': 0.7119999999999997}",25,0,-183.90446799826128,"{0: 12, 1: 1, 2: 8, 3: 2, 4: 2}",0
145,False,"{'a': 0.5, 'e': 0.7099999999999997}",30,0,-10.984503692645644,"{0: 24, 1: 2, 2: 4, 3: 0, 4: 0}",0
146,False,"{'a': 0.5, 'e': 0.7079999999999997}",20,0,-67.90209338023314,"{0: 13, 1: 0, 2: 5, 3: 2, 4: 0}",0
147,False,"{'a': 0.5, 'e': 0.7059999999999997}",20,5,-65.41937111628921,"{0: 10, 1: 2, 2: 1, 3: 1, 4: 1}",1
148,False,"{'a': 0.5, 'e': 0.7039999999999997}",25,0,-24.960978680935177,"{0: 22, 1: 1, 2: 1, 3: 0, 4: 1}",0
149,False,"{'a': 0.5, 'e': 0.7019999999999997}",20,14,10.94111177374285,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
150,False,"{'a': 0.5, 'e': 0.6999999999999997}",20,0,-6.785191265885821,"{0: 18, 1: 0, 2: 1, 3: 1, 4: 0}",1
151,False,"{'a': 0.5, 'e': 0.6979999999999997}",20,0,-3.679987322233881,"{0: 17, 1: 1, 2: 2, 3: 0, 4: 0}",0
152,False,"{'a': 0.5, 'e': 0.6959999999999997}",25,0,-120.18115827596176,"{0: 16, 1: 3, 2: 3, 3: 1, 4: 2}",0
153,False,"{'a': 0.5, 'e': 0.6939999999999997}",20,6,-96.64654610560633,"{0: 6, 1: 1, 2: 6, 3: 0, 4: 1}",1
154,False,"{'a': 0.5, 'e': 0.6919999999999997}",30,17,16.527151314190295,"{0: 12, 1: 1, 2: 0, 3: 0, 4: 0}",1
155,False,"{'a': 0.5, 'e': 0.6899999999999997}",20,0,-26.473387205093864,"{0: 14, 1: 2, 2: 4, 3: 0, 4: 0}",1
156,False,"{'a': 0.5, 'e': 0.6879999999999997}",30,0,-54.85244780887013,"{0: 20, 1: 3, 2: 7, 3: 0, 4: 0}",0
157,False,"{'a': 0.5, 'e': 0.6859999999999997}",30,0,-60.588736479455676,"{0: 23, 1: 3, 2: 0, 3: 4, 4: 0}",0
158,False,"{'a': 0.5, 'e': 0.6839999999999997}",20,11,-12.124521827736354,"{0: 6, 1: 2, 2: 1, 3: 0, 4: 0}",1
159,False,"{'a': 0.5, 'e': 0.6819999999999997}",20,0,-82.90348586340214,"{0: 13, 1: 1, 2: 4, 3: 1, 4: 1}",0
160,False,"{'a': 0.5, 'e': 0.6799999999999997}",20,0,-105.50695232422112,"{0: 14, 1: 1, 2: 2, 3: 1, 4: 2}",0
161,False,"{'a': 0.5, 'e': 0.6779999999999997}",25,0,-72.4221302620911,"{0: 19, 1: 1, 2: 3, 3: 1, 4: 1}",0
162,False,"{'a': 0.5, 'e': 0.6759999999999997}",20,9,-5.580719640098361,"{0: 9, 1: 0, 2: 2, 3: 0, 4: 0}",1
163,False,"{'a': 0.5, 'e': 0.6739999999999997}",30,0,-132.37120125995548,"{0: 19, 1: 2, 2: 7, 3: 0, 4: 2}",0
164,False,"{'a': 0.5, 'e': 0.6719999999999997}",30,10,-144.66435774824294,"{0: 13, 1: 0, 2: 3, 3: 1, 4: 3}",1
165,False,"{'a': 0.5, 'e': 0.6699999999999997}",25,0,-146.8853639393291,"{0: 17, 1: 0, 2: 5, 3: 0, 4: 3}",0
166,False,"{'a': 0.5, 'e': 0.6679999999999997}",30,0,-91.05130081895419,"{0: 21, 1: 3, 2: 4, 3: 1, 4: 1}",0
167,False,"{'a': 0.5, 'e': 0.6659999999999997}",25,5,-94.75046262431073,"{0: 14, 1: 2, 2: 1, 3: 1, 4: 2}",1
168,False,"{'a': 0.5, 'e': 0.6639999999999997}",30,8,-3.266620717359327,"{0: 18, 1: 1, 2: 3, 3: 0, 4: 0}",1
169,False,"{'a': 0.5, 'e': 0.6619999999999997}",20,0,-151.41167950500753,"{0: 11, 1: 3, 2: 3, 3: 0, 4: 3}",0
170,False,"{'a': 0.5, 'e': 0.6599999999999997}",25,0,-42.4676034868898,"{0: 18, 1: 1, 2: 6, 3: 0, 4: 0}",0
171,False,"{'a': 0.5, 'e': 0.6579999999999997}",30,17,-90.47661059416863,"{0: 7, 1: 0, 2: 4, 3: 1, 4: 1}",1
172,False,"{'a': 0.5, 'e': 0.6559999999999997}",20,12,-3.4681227563228902,"{0: 6, 1: 1, 2: 1, 3: 0, 4: 0}",1
173,False,"{'a': 0.5, 'e': 0.6539999999999997}",30,0,-51.96353239977396,"{0: 23, 1: 1, 2: 5, 3: 1, 4: 0}",0
174,False,"{'a': 0.5, 'e': 0.6519999999999997}",20,3,-55.944838159857426,"{0: 13, 1: 0, 2: 2, 3: 1, 4: 1}",1
175,False,"{'a': 0.5, 'e': 0.6499999999999997}",30,0,-54.15038835828291,"{0: 24, 1: 2, 2: 2, 3: 1, 4: 1}",0
176,False,"{'a': 0.5, 'e': 0.6479999999999997}",35,13,-45.78284309772998,"{0: 19, 1: 0, 2: 1, 3: 1, 4: 1}",1
177,False,"{'a': 0.5, 'e': 0.6459999999999997}",20,0,-169.2209547384889,"{0: 12, 1: 2, 2: 1, 3: 2, 4: 3}",0
178,False,"{'a': 0.5, 'e': 0.6439999999999997}",25,14,4.816900894955028,"{0: 9, 1: 1, 2: 1, 3: 0, 4: 0}",1
179,False,"{'a': 0.5, 'e': 0.6419999999999997}",20,0,-34.892303675358484,"{0: 14, 1: 1, 2: 5, 3: 0, 4: 0}",0
180,False,"{'a': 0.5, 'e': 0.6399999999999997}",20,0,-115.58315262267637,"{0: 11, 1: 0, 2: 7, 3: 1, 4: 1}",0
181,False,"{'a': 0.5, 'e': 0.6379999999999997}",20,0,-35.855454664781774,"{0: 14, 1: 1, 2: 5, 3: 0, 4: 0}",0
182,False,"{'a': 0.5, 'e': 0.6359999999999997}",20,0,-50.78332842280001,"{0: 15, 1: 2, 2: 2, 3: 0, 4: 1}",0
183,False,"{'a': 0.5, 'e': 0.6339999999999997}",25,0,-30.26197349360491,"{0: 19, 1: 1, 2: 5, 3: 0, 4: 0}",0
184,False,"{'a': 0.5, 'e': 0.6319999999999997}",25,8,0.8622324071269716,"{0: 14, 1: 1, 2: 2, 3: 0, 4: 0}",1
185,False,"{'a': 0.5, 'e': 0.6299999999999997}",20,4,-35.90794200039471,"{0: 13, 1: 1, 2: 1, 3: 0, 4: 1}",1
186,False,"{'a': 0.5, 'e': 0.6279999999999997}",35,23,4.762507804341455,"{0: 10, 1: 1, 2: 1, 3: 0, 4: 0}",1
187,False,"{'a': 0.5, 'e': 0.6259999999999997}",30,1,-85.38604246709983,"{0: 24, 1: 1, 2: 1, 3: 1, 4: 2}",1
188,False,"{'a': 0.5, 'e': 0.6239999999999997}",25,2,-195.08153383308246,"{0: 14, 1: 1, 2: 3, 3: 1, 4: 4}",1
189,False,"{'a': 0.5, 'e': 0.6219999999999997}",25,0,-115.45764785561309,"{0: 17, 1: 0, 2: 6, 3: 0, 4: 2}",0
190,False,"{'a': 0.5, 'e': 0.6199999999999997}",30,0,-83.27408112041577,"{0: 21, 1: 1, 2: 7, 3: 0, 4: 1}",1
191,False,"{'a': 0.5, 'e': 0.6179999999999997}",30,7,-56.41796767192867,"{0: 17, 1: 0, 2: 5, 3: 0, 4: 1}",1
192,False,"{'a': 0.5, 'e': 0.6159999999999997}",30,10,34.46707513486639,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",1
193,False,"{'a': 0.5, 'e': 0.6139999999999997}",25,0,-79.43848057636596,"{0: 20, 1: 1, 2: 2, 3: 0, 4: 2}",0
194,False,"{'a': 0.5, 'e': 0.6119999999999997}",20,0,-63.338069794117175,"{0: 12, 1: 3, 2: 3, 3: 2, 4: 0}",0
195,False,"{'a': 0.5, 'e': 0.6099999999999997}",25,8,-35.84655410665314,"{0: 14, 1: 0, 2: 2, 3: 0, 4: 1}",1
196,False,"{'a': 0.5, 'e': 0.6079999999999997}",30,10,-84.88047759829811,"{0: 14, 1: 1, 2: 2, 3: 2, 4: 1}",1
197,False,"{'a': 0.5, 'e': 0.6059999999999997}",25,11,-65.09787549505606,"{0: 9, 1: 2, 2: 1, 3: 1, 4: 1}",1
198,False,"{'a': 0.5, 'e': 0.6039999999999996}",20,0,-22.45408333922392,"{0: 15, 1: 0, 2: 5, 3: 0, 4: 0}",0
199,False,"{'a': 0.5, 'e': 0.6019999999999996}",20,11,-4.340066869529417,"{0: 7, 1: 1, 2: 1, 3: 0, 4: 0}",1
200,False,"{'a': 0.5, 'e': 0.5999999999999996}",30,10,-9.864290276602631,"{0: 16, 1: 1, 2: 3, 3: 0, 4: 0}",1
201,False,"{'a': 0.5, 'e': 0.5979999999999996}",25,5,-55.84738385468713,"{0: 15, 1: 1, 2: 3, 3: 0, 4: 1}",1
202,False,"{'a': 0.5, 'e': 0.5959999999999996}",20,0,-45.08616611367174,"{0: 16, 1: 1, 2: 2, 3: 0, 4: 1}",0
203,False,"{'a': 0.5, 'e': 0.5939999999999996}",20,0,-1.2306279688866923,"{0: 17, 1: 1, 2: 2, 3: 0, 4: 0}",0
204,False,"{'a': 0.5, 'e': 0.5919999999999996}",35,0,-173.23471209631958,"{0: 23, 1: 0, 2: 8, 3: 2, 4: 2}",0
205,False,"{'a': 0.5, 'e': 0.5899999999999996}",35,18,-84.49339150835571,"{0: 12, 1: 0, 2: 3, 3: 0, 4: 2}",1
206,False,"{'a': 0.5, 'e': 0.5879999999999996}",25,0,-40.39849508191433,"{0: 20, 1: 0, 2: 3, 3: 2, 4: 0}",0
207,False,"{'a': 0.5, 'e': 0.5859999999999996}",30,0,-104.20250522311535,"{0: 20, 1: 1, 2: 7, 3: 1, 4: 1}",0
208,False,"{'a': 0.5, 'e': 0.5839999999999996}",25,0,-78.28087468637796,"{0: 19, 1: 1, 2: 2, 3: 2, 4: 1}",0
209,False,"{'a': 0.5, 'e': 0.5819999999999996}",20,6,4.556251121304665,"{0: 12, 1: 1, 2: 1, 3: 0, 4: 0}",1
210,False,"{'a': 0.5, 'e': 0.5799999999999996}",25,9,-55.693041550679446,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 2}",1
211,False,"{'a': 0.5, 'e': 0.5779999999999996}",20,10,-16.45982064809074,"{0: 7, 1: 0, 2: 3, 3: 0, 4: 0}",1
212,False,"{'a': 0.5, 'e': 0.5759999999999996}",30,12,-2.745485019303954,"{0: 15, 1: 1, 2: 2, 3: 0, 4: 0}",1
213,False,"{'a': 0.5, 'e': 0.5739999999999996}",20,10,7.372329533988112,"{0: 9, 1: 0, 2: 1, 3: 0, 4: 0}",1
214,False,"{'a': 0.5, 'e': 0.5719999999999996}",20,0,-57.352969740909714,"{0: 13, 1: 0, 2: 7, 3: 0, 4: 0}",0
215,False,"{'a': 0.5, 'e': 0.5699999999999996}",25,0,-41.827340003278614,"{0: 18, 1: 1, 2: 6, 3: 0, 4: 0}",0
216,False,"{'a': 0.5, 'e': 0.5679999999999996}",25,7,-30.717289496879438,"{0: 15, 1: 1, 2: 1, 3: 0, 4: 1}",1
217,False,"{'a': 0.5, 'e': 0.5659999999999996}",35,0,-37.918132759212384,"{0: 28, 1: 0, 2: 6, 3: 1, 4: 0}",0
218,False,"{'a': 0.5, 'e': 0.5639999999999996}",20,0,-60.495550233063426,"{0: 14, 1: 1, 2: 4, 3: 0, 4: 1}",0
219,False,"{'a': 0.5, 'e': 0.5619999999999996}",20,2,-76.51847523661118,"{0: 13, 1: 0, 2: 2, 3: 2, 4: 1}",1
220,False,"{'a': 0.5, 'e': 0.5599999999999996}",25,11,-55.94621947066612,"{0: 10, 1: 1, 2: 1, 3: 1, 4: 1}",1
221,False,"{'a': 0.5, 'e': 0.5579999999999996}",20,9,1.227765054113349,"{0: 9, 1: 1, 2: 1, 3: 0, 4: 0}",1
222,False,"{'a': 0.5, 'e': 0.5559999999999996}",25,16,3.2251724334028777,"{0: 8, 1: 0, 2: 1, 3: 0, 4: 0}",1
223,False,"{'a': 0.5, 'e': 0.5539999999999996}",20,0,-62.39679893141817,"{0: 14, 1: 3, 2: 1, 3: 1, 4: 1}",0
224,False,"{'a': 0.5, 'e': 0.5519999999999996}",25,0,-22.155265316229624,"{0: 21, 1: 1, 2: 2, 3: 1, 4: 0}",0
225,False,"{'a': 0.5, 'e': 0.5499999999999996}",20,0,-108.61573054607402,"{0: 13, 1: 0, 2: 5, 3: 0, 4: 2}",0
226,False,"{'a': 0.5, 'e': 0.5479999999999996}",25,0,-9.326019878061151,"{0: 21, 1: 1, 2: 3, 3: 0, 4: 0}",0
227,False,"{'a': 0.5, 'e': 0.5459999999999996}",30,0,-133.58385159536206,"{0: 21, 1: 3, 2: 3, 3: 0, 4: 3}",0
228,False,"{'a': 0.5, 'e': 0.5439999999999996}",20,8,20.231114984822863,"{0: 11, 1: 1, 2: 0, 3: 0, 4: 0}",1
229,False,"{'a': 0.5, 'e': 0.5419999999999996}",20,9,-25.914812566809328,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 1}",1
230,False,"{'a': 0.5, 'e': 0.5399999999999996}",25,8,-8.06401489815604,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 1}",1
231,False,"{'a': 0.5, 'e': 0.5379999999999996}",25,9,-86.35189532168843,"{0: 11, 1: 0, 2: 3, 3: 0, 4: 2}",1
232,False,"{'a': 0.5, 'e': 0.5359999999999996}",20,0,16.874528333738503,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
233,False,"{'a': 0.5, 'e': 0.5339999999999996}",20,0,-21.80841825815427,"{0: 18, 1: 1, 2: 0, 3: 0, 4: 1}",0
234,False,"{'a': 0.5, 'e': 0.5319999999999996}",30,0,-0.43803096761981486,"{0: 27, 1: 1, 2: 1, 3: 1, 4: 0}",0
235,False,"{'a': 0.5, 'e': 0.5299999999999996}",30,0,-43.6617913510572,"{0: 24, 1: 2, 2: 3, 3: 0, 4: 1}",0
236,False,"{'a': 0.5, 'e': 0.5279999999999996}",25,16,-22.165201803311614,"{0: 6, 1: 0, 2: 3, 3: 0, 4: 0}",1
237,False,"{'a': 0.5, 'e': 0.5259999999999996}",20,0,-79.28295147902497,"{0: 16, 1: 0, 2: 2, 3: 0, 4: 2}",1
238,False,"{'a': 0.5, 'e': 0.5239999999999996}",20,0,-132.3679893865646,"{0: 13, 1: 0, 2: 3, 3: 2, 4: 2}",0
239,False,"{'a': 0.5, 'e': 0.5219999999999996}",20,0,-56.469329870829775,"{0: 15, 1: 0, 2: 4, 3: 0, 4: 1}",0
240,False,"{'a': 0.5, 'e': 0.5199999999999996}",25,12,-75.34172693490787,"{0: 7, 1: 0, 2: 5, 3: 0, 4: 1}",1
241,False,"{'a': 0.5, 'e': 0.5179999999999996}",25,0,-32.152830326673175,"{0: 19, 1: 1, 2: 4, 3: 1, 4: 0}",0
242,False,"{'a': 0.5, 'e': 0.5159999999999996}",30,17,14.740145162031176,"{0: 12, 1: 1, 2: 0, 3: 0, 4: 0}",1
243,False,"{'a': 0.5, 'e': 0.5139999999999996}",30,0,-67.99621472115408,"{0: 24, 1: 0, 2: 4, 3: 1, 4: 1}",0
244,False,"{'a': 0.5, 'e': 0.5119999999999996}",20,0,-35.08678427693652,"{0: 17, 1: 0, 2: 2, 3: 0, 4: 1}",0
245,False,"{'a': 0.5, 'e': 0.5099999999999996}",20,0,-8.098914894997092,"{0: 17, 1: 0, 2: 3, 3: 0, 4: 0}",0
246,False,"{'a': 0.5, 'e': 0.5079999999999996}",20,0,-56.43064904056669,"{0: 15, 1: 0, 2: 4, 3: 0, 4: 1}",0
247,False,"{'a': 0.5, 'e': 0.5059999999999996}",25,0,-96.75729555614863,"{0: 17, 1: 3, 2: 3, 3: 0, 4: 2}",0
248,False,"{'a': 0.5, 'e': 0.5039999999999996}",25,6,-60.34830870718873,"{0: 15, 1: 0, 2: 2, 3: 1, 4: 1}",1
249,False,"{'a': 0.5, 'e': 0.5019999999999996}",25,0,-51.906046532201906,"{0: 21, 1: 0, 2: 2, 3: 1, 4: 1}",0
250,False,"{'a': 0.5, 'e': 0.49999999999999956}",35,0,-32.72291929532352,"{0: 29, 1: 3, 2: 2, 3: 0, 4: 1}",0
251,False,"{'a': 0.5, 'e': 0.49799999999999955}",30,0,-98.42583318819011,"{0: 20, 1: 2, 2: 6, 3: 1, 4: 1}",0
252,False,"{'a': 0.5, 'e': 0.49599999999999955}",30,7,-19.166119098497,"{0: 21, 1: 0, 2: 1, 3: 0, 4: 1}",1
253,False,"{'a': 0.5, 'e': 0.49399999999999955}",30,4,-12.248876816368586,"{0: 21, 1: 1, 2: 4, 3: 0, 4: 0}",1
254,False,"{'a': 0.5, 'e': 0.49199999999999955}",25,7,-16.61673192320848,"{0: 13, 1: 2, 2: 3, 3: 0, 4: 0}",1
255,False,"{'a': 0.5, 'e': 0.48999999999999955}",20,5,-7.261224366257815,"{0: 12, 1: 1, 2: 2, 3: 0, 4: 0}",1
256,False,"{'a': 0.5, 'e': 0.48799999999999955}",20,0,-4.393268073669833,"{0: 16, 1: 3, 2: 1, 3: 0, 4: 0}",0
257,False,"{'a': 0.5, 'e': 0.48599999999999954}",30,18,-1.9387857150498622,"{0: 10, 1: 0, 2: 2, 3: 0, 4: 0}",1
258,False,"{'a': 0.5, 'e': 0.48399999999999954}",25,14,25.041355586244876,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
259,False,"{'a': 0.5, 'e': 0.48199999999999954}",20,0,-18.782981823491596,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 1}",0
260,False,"{'a': 0.5, 'e': 0.47999999999999954}",25,0,-76.86206928342055,"{0: 19, 1: 1, 2: 2, 3: 2, 4: 1}",0
261,False,"{'a': 0.5, 'e': 0.47799999999999954}",20,5,-3.767821723211987,"{0: 13, 1: 1, 2: 0, 3: 1, 4: 0}",1
262,False,"{'a': 0.5, 'e': 0.47599999999999953}",20,10,4.14770915064488,"{0: 9, 1: 0, 2: 1, 3: 0, 4: 0}",1
263,False,"{'a': 0.5, 'e': 0.47399999999999953}",25,0,-36.06508911981707,"{0: 19, 1: 0, 2: 6, 3: 0, 4: 0}",0
264,False,"{'a': 0.5, 'e': 0.47199999999999953}",20,5,-9.380299742313621,"{0: 13, 1: 0, 2: 1, 3: 1, 4: 0}",1
265,False,"{'a': 0.5, 'e': 0.46999999999999953}",30,9,-58.072928528184825,"{0: 12, 1: 2, 2: 7, 3: 0, 4: 0}",1
266,False,"{'a': 0.5, 'e': 0.4679999999999995}",30,0,-73.40290127834844,"{0: 23, 1: 1, 2: 4, 3: 1, 4: 1}",0
267,False,"{'a': 0.5, 'e': 0.4659999999999995}",25,0,-102.92332589626847,"{0: 16, 1: 1, 2: 6, 3: 1, 4: 1}",0
268,False,"{'a': 0.5, 'e': 0.4639999999999995}",20,3,17.565932798302764,"{0: 16, 1: 0, 2: 1, 3: 0, 4: 0}",1
269,False,"{'a': 0.5, 'e': 0.4619999999999995}",25,10,-72.37971225320152,"{0: 10, 1: 1, 2: 1, 3: 2, 4: 1}",1
270,False,"{'a': 0.5, 'e': 0.4599999999999995}",25,5,-14.81369547472803,"{0: 14, 1: 3, 2: 3, 3: 0, 4: 0}",1
271,False,"{'a': 0.5, 'e': 0.4579999999999995}",25,0,-124.56328923099309,"{0: 20, 1: 0, 2: 1, 3: 1, 4: 3}",0
272,False,"{'a': 0.5, 'e': 0.4559999999999995}",20,0,-11.156258819966844,"{0: 17, 1: 0, 2: 3, 3: 0, 4: 0}",0
273,False,"{'a': 0.5, 'e': 0.4539999999999995}",25,0,-56.23321002621656,"{0: 20, 1: 1, 2: 2, 3: 1, 4: 1}",0
274,False,"{'a': 0.5, 'e': 0.4519999999999995}",25,4,-31.487983879156037,"{0: 17, 1: 2, 2: 1, 3: 0, 4: 1}",1
275,False,"{'a': 0.5, 'e': 0.4499999999999995}",25,0,-31.384644551139473,"{0: 20, 1: 1, 2: 2, 3: 2, 4: 0}",0
276,False,"{'a': 0.5, 'e': 0.4479999999999995}",25,13,-45.78523343843385,"{0: 9, 1: 0, 2: 2, 3: 0, 4: 1}",1
277,False,"{'a': 0.5, 'e': 0.4459999999999995}",25,6,-45.856011098266244,"{0: 15, 1: 1, 2: 2, 3: 0, 4: 1}",1
278,False,"{'a': 0.5, 'e': 0.4439999999999995}",20,7,23.033406644128593,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
279,False,"{'a': 0.5, 'e': 0.4419999999999995}",20,0,9.456649825007808,"{0: 18, 1: 1, 2: 1, 3: 0, 4: 0}",0
280,False,"{'a': 0.5, 'e': 0.4399999999999995}",25,9,-63.90425587038723,"{0: 11, 1: 2, 2: 1, 3: 1, 4: 1}",1
281,False,"{'a': 0.5, 'e': 0.4379999999999995}",30,17,-37.85703570850052,"{0: 10, 1: 0, 2: 2, 3: 0, 4: 1}",1
282,False,"{'a': 0.5, 'e': 0.4359999999999995}",25,6,26.40258390469522,"{0: 18, 1: 0, 2: 1, 3: 0, 4: 0}",1
283,False,"{'a': 0.5, 'e': 0.4339999999999995}",20,12,5.137456825403337,"{0: 7, 1: 0, 2: 1, 3: 0, 4: 0}",1
284,False,"{'a': 0.5, 'e': 0.4319999999999995}",25,8,-27.79622292979518,"{0: 13, 1: 0, 2: 3, 3: 1, 4: 0}",1
285,False,"{'a': 0.5, 'e': 0.4299999999999995}",30,16,-19.475645393907637,"{0: 12, 1: 1, 2: 0, 3: 0, 4: 1}",1
286,False,"{'a': 0.5, 'e': 0.4279999999999995}",20,13,-0.2572802222820627,"{0: 5, 1: 2, 2: 0, 3: 0, 4: 0}",1
287,False,"{'a': 0.5, 'e': 0.4259999999999995}",20,0,-59.91072868446133,"{0: 15, 1: 1, 2: 3, 3: 0, 4: 1}",0
288,False,"{'a': 0.5, 'e': 0.4239999999999995}",30,6,-26.94021346951658,"{0: 20, 1: 0, 2: 2, 3: 2, 4: 0}",1
289,False,"{'a': 0.5, 'e': 0.4219999999999995}",20,0,-24.94102024652706,"{0: 16, 1: 1, 2: 2, 3: 1, 4: 0}",0
290,False,"{'a': 0.5, 'e': 0.4199999999999995}",30,2,-53.677447542949565,"{0: 23, 1: 1, 2: 2, 3: 1, 4: 1}",1
291,False,"{'a': 0.5, 'e': 0.4179999999999995}",25,10,-11.217577572623156,"{0: 12, 1: 0, 2: 3, 3: 0, 4: 0}",1
292,False,"{'a': 0.5, 'e': 0.4159999999999995}",20,0,20.93191776949141,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
293,False,"{'a': 0.5, 'e': 0.4139999999999995}",20,2,14.760683596265663,"{0: 17, 1: 0, 2: 1, 3: 0, 4: 0}",1
294,False,"{'a': 0.5, 'e': 0.4119999999999995}",20,5,17.9489480550514,"{0: 14, 1: 1, 2: 0, 3: 0, 4: 0}",1
295,False,"{'a': 0.5, 'e': 0.4099999999999995}",20,0,0.825212504663104,"{0: 18, 1: 1, 2: 0, 3: 1, 4: 0}",0
296,False,"{'a': 0.5, 'e': 0.4079999999999995}",25,8,-65.13884309290304,"{0: 11, 1: 1, 2: 4, 3: 0, 4: 1}",1
297,False,"{'a': 0.5, 'e': 0.4059999999999995}",25,13,0.699951463793127,"{0: 10, 1: 0, 2: 2, 3: 0, 4: 0}",1
298,False,"{'a': 0.5, 'e': 0.40399999999999947}",25,8,-5.001590497851159,"{0: 15, 1: 0, 2: 1, 3: 1, 4: 0}",1
299,False,"{'a': 0.5, 'e': 0.40199999999999947}",25,9,-24.199922565822746,"{0: 12, 1: 1, 2: 2, 3: 1, 4: 0}",1
300,False,"{'a': 0.5, 'e': 0.39999999999999947}",20,12,10.819374160455046,"{0: 7, 1: 1, 2: 0, 3: 0, 4: 0}",1
301,False,"{'a': 0.5, 'e': 0.39799999999999947}",20,14,1.5076133102886087,"{0: 5, 1: 0, 2: 1, 3: 0, 4: 0}",1
302,False,"{'a': 0.5, 'e': 0.39599999999999946}",25,17,-6.511939469808267,"{0: 6, 1: 1, 2: 1, 3: 0, 4: 0}",1
303,False,"{'a': 0.5, 'e': 0.39399999999999946}",25,7,33.52398722778055,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
304,False,"{'a': 0.5, 'e': 0.39199999999999946}",20,4,1.5364632470804995,"{0: 14, 1: 0, 2: 2, 3: 0, 4: 0}",1
305,False,"{'a': 0.5, 'e': 0.38999999999999946}",25,0,-101.97298841914846,"{0: 19, 1: 0, 2: 3, 3: 1, 4: 2}",0
306,False,"{'a': 0.5, 'e': 0.38799999999999946}",20,10,6.233056195695382,"{0: 9, 1: 0, 2: 1, 3: 0, 4: 0}",1
307,False,"{'a': 0.5, 'e': 0.38599999999999945}",20,4,-6.247113978270585,"{0: 13, 1: 0, 2: 3, 3: 0, 4: 0}",1
308,False,"{'a': 0.5, 'e': 0.38399999999999945}",25,4,8.916594082708844,"{0: 18, 1: 2, 2: 1, 3: 0, 4: 0}",1
309,False,"{'a': 0.5, 'e': 0.38199999999999945}",20,12,10.933680136203645,"{0: 7, 1: 1, 2: 0, 3: 0, 4: 0}",1
310,False,"{'a': 0.5, 'e': 0.37999999999999945}",20,0,-79.0104256072773,"{0: 15, 1: 0, 2: 2, 3: 2, 4: 1}",0
311,False,"{'a': 0.5, 'e': 0.37799999999999945}",25,8,16.90360188774247,"{0: 16, 1: 0, 2: 1, 3: 0, 4: 0}",1
312,False,"{'a': 0.5, 'e': 0.37599999999999945}",25,0,-43.42175326131631,"{0: 20, 1: 1, 2: 3, 3: 0, 4: 1}",0
313,False,"{'a': 0.5, 'e': 0.37399999999999944}",20,15,9.48529876000898,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
314,False,"{'a': 0.5, 'e': 0.37199999999999944}",20,10,-37.68690945423615,"{0: 8, 1: 0, 2: 1, 3: 0, 4: 1}",1
315,False,"{'a': 0.5, 'e': 0.36999999999999944}",30,12,-102.0827270748341,"{0: 14, 1: 1, 2: 0, 3: 0, 4: 3}",1
316,False,"{'a': 0.5, 'e': 0.36799999999999944}",35,9,-13.764781939018134,"{0: 21, 1: 2, 2: 2, 3: 1, 4: 0}",1
317,False,"{'a': 0.5, 'e': 0.36599999999999944}",20,0,9.46516857273884,"{0: 18, 1: 0, 2: 2, 3: 0, 4: 0}",0
318,False,"{'a': 0.5, 'e': 0.36399999999999944}",30,2,9.725437919031414,"{0: 25, 1: 0, 2: 3, 3: 0, 4: 0}",1
319,False,"{'a': 0.5, 'e': 0.36199999999999943}",20,16,8.236305335643355,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
320,False,"{'a': 0.5, 'e': 0.35999999999999943}",30,0,17.4048213632061,"{0: 27, 1: 1, 2: 2, 3: 0, 4: 0}",0
321,False,"{'a': 0.5, 'e': 0.35799999999999943}",20,0,8.484621779139683,"{0: 18, 1: 1, 2: 1, 3: 0, 4: 0}",0
322,False,"{'a': 0.5, 'e': 0.35599999999999943}",25,0,-32.207519824708555,"{0: 21, 1: 2, 2: 1, 3: 0, 4: 1}",0
